,Unnamed: 0,Start.Time,commute,Gate List
48,49,2014-04-25 17:32:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
49,50,2014-06-09 18:20:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
50,51,2014-06-10 08:16:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
51,52,2014-06-10 18:13:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
52,53,2014-06-11 09:03:00,AM,"GCP2,GCP1,BQE2"
53,54,2014-06-11 17:42:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
54,55,2014-06-12 08:56:00,AM,"GCP2,GCP1,NSP3,LIE2,BQE2,LIE1"
55,56,2014-06-12 18:44:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE4,LIE5"
56,57,2014-06-13 09:02:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
57,58,2014-06-16 09:25:00,AM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
58,59,2014-06-16 17:59:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
59,60,2014-06-17 09:03:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
60,61,2014-07-10 09:25:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
61,62,2014-07-10 17:03:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
62,63,2014-07-14 08:56:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
63,64,2014-07-14 17:58:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
64,65,2014-07-15 10:00:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
65,66,2014-07-15 18:25:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
66,67,2014-07-16 18:46:00,PM,"GCP2,GCP1,NSP3,LIE2,BQE2,LIE1"
67,68,2014-07-17 08:42:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
68,69,2014-07-17 18:59:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
69,70,2014-07-21 09:21:00,AM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
70,71,2014-07-21 18:19:00,PM,"GCP2,CIP1,NSP3,LIE2,BQE2,LIE1"
